央视频道,#genre#
CCTV6,http://39.134.58.74/PLTV/88888888/224/3221226847/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV7,http://39.134.58.74/PLTV/88888888/224/3221226640/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV7,http://39.134.58.74/PLTV/88888888/224/3221226925/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV7,http://39.134.58.74/PLTV/88888888/224/3221226915/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV8,http://39.134.58.74/PLTV/88888888/224/3221226902/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV8,http://39.134.58.74/PLTV/88888888/224/3221226903/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV9,http://39.134.58.74/PLTV/88888888/224/3221226470/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV9,http://39.134.58.74/PLTV/88888888/224/3221226923/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV9,http://39.134.58.74/PLTV/88888888/224/3221226976/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV9,http://39.134.58.74/PLTV/88888888/224/3221226849/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV10,http://39.134.58.74/PLTV/88888888/224/3221226462/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
CCTV10,http://39.134.58.74/PLTV/88888888/224/3221226966/index.m3u8?icpid=88888888&from=19&ocs=2_39.135.129.5_80&hms_devid=1524.153&online=1729443969&vqe=3
